STN_NUMBER,LONGITUDE,LATITUDE,FC,LANE,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
89,-85.090679,35.00881,4,0,4601.0,274.0,1464.0,36.0,1443.0,47.0,62.0,41.0,91.0,63.0,44914.0,4882.0,133.0,78.0,714.0,87.0,1177.0,161.0,482.0,118.0,31.0,25.0,946.0,391.0,43.0,60.0,0.0,17.0,10.0,16.0,9.0,18.0,0.0,12.0,0.0,12.0,1.4,0.9,4.0,2.6,44914.0,4882.0,4.3,2.4,15.5,1.8,25.6,3.1,10.5,2.5,2.1,1.8,20.6,8.4,1.0,1.4,0.0,1.2,0.7,1.1,0.6,1.3,0.0,2.4,0.0,0.3,0.0149,0.33,0.0824,0.122,0.5493,0.091,0.4262,0.7667,0.1853,0.0566,1.4348,0.1582,0.5974,0.6628,1.2602,0.6784,0.0,0.2879,0.2886,0.0,0.0,0.5765,0.0278,3.8208,0.0591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,99.0,4.4,2.1,2952.0
90,-85.093855,35.016538,4,0,4601.0,274.0,1464.0,36.0,1443.0,47.0,62.0,41.0,91.0,63.0,44914.0,4882.0,133.0,78.0,714.0,87.0,1177.0,161.0,482.0,118.0,31.0,25.0,946.0,391.0,43.0,60.0,0.0,17.0,10.0,16.0,9.0,18.0,0.0,12.0,0.0,12.0,1.4,0.9,4.0,2.6,44914.0,4882.0,4.3,2.4,15.5,1.8,25.6,3.1,10.5,2.5,2.1,1.8,20.6,8.4,1.0,1.4,0.0,1.2,0.7,1.1,0.6,1.3,0.0,2.4,0.0,0.3,0.0149,0.33,0.0824,0.122,0.5493,0.091,0.4262,0.7667,0.1853,0.0566,1.4348,0.1582,0.5974,0.6628,1.2602,0.6784,0.0,0.2879,0.2886,0.0,0.0,0.5765,0.0278,3.8208,0.0591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,99.0,4.4,2.1,2952.0
91,-85.130958,35.00409,4,0,7929.0,772.0,3283.0,159.0,2975.0,207.0,846.0,441.0,271.0,132.0,35438.0,3163.0,683.0,279.0,1388.0,234.0,1385.0,273.0,699.0,218.0,211.0,113.0,2815.0,1017.0,296.0,140.0,785.0,216.0,103.0,106.0,64.0,64.0,115.0,79.0,99.0,38.0,10.8,5.6,5.9,3.0,35438.0,3163.0,11.0,4.1,17.5,2.8,17.5,3.0,8.9,2.7,7.1,3.8,35.5,12.4,3.9,1.8,23.9,6.5,3.1,3.2,2.2,2.2,3.9,2.6,1.2,0.5,0.3245,0.5355,0.1708,0.3857,1.4165,0.3143,0.5705,0.1666,0.1271,0.4329,1.2971,0.1102,0.7323,0.8935,1.6258,0.8732,0.909,0.4485,0.6352,0.4522,0.7188,3.1637,0.8339,7.5031,0.5516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,569.0,297.0,7.3,3.5,9443.0
92,-85.148088,34.989203,4,0,5290.0,539.0,2470.0,62.0,2176.0,174.0,558.0,315.0,69.0,81.0,39847.0,9497.0,207.0,133.0,633.0,89.0,1005.0,257.0,608.0,250.0,319.0,130.0,1788.0,742.0,173.0,154.0,642.0,211.0,22.0,26.0,65.0,69.0,29.0,33.0,0.0,17.0,10.5,5.9,2.1,2.4,39847.0,9497.0,5.7,3.6,12.0,1.9,19.0,4.5,11.5,4.8,14.7,5.9,33.8,13.6,3.5,3.1,26.0,8.5,0.9,1.0,3.0,3.2,1.3,1.5,0.0,0.3,0.3096,0.0926,0.1155,0.1679,0.6856,0.1242,0.2508,0.2569,0.2319,0.8409,1.5805,0.2204,0.7202,0.8806,1.6008,0.8631,0.9191,0.3076,0.7431,0.1363,0.0,2.1061,0.4285,5.973,0.2955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,316.0,162.0,6.0,3.2,2224.0
93,-85.136109,35.031085,4,0,7929.0,772.0,3283.0,159.0,2975.0,207.0,846.0,441.0,271.0,132.0,35438.0,3163.0,683.0,279.0,1388.0,234.0,1385.0,273.0,699.0,218.0,211.0,113.0,2815.0,1017.0,296.0,140.0,785.0,216.0,103.0,106.0,64.0,64.0,115.0,79.0,99.0,38.0,10.8,5.6,5.9,3.0,35438.0,3163.0,11.0,4.1,17.5,2.8,17.5,3.0,8.9,2.7,7.1,3.8,35.5,12.4,3.9,1.8,23.9,6.5,3.1,3.2,2.2,2.2,3.9,2.6,1.2,0.5,0.3245,0.5355,0.1708,0.3857,1.4165,0.3143,0.5705,0.1666,0.1271,0.4329,1.2971,0.1102,0.7323,0.8935,1.6258,0.8732,0.909,0.4485,0.6352,0.4522,0.7188,3.1637,0.8339,7.5031,0.5516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,569.0,297.0,7.3,3.5,9443.0
94,-85.136861,35.051455,4,0,5836.0,472.0,2592.0,117.0,2329.0,155.0,481.0,212.0,119.0,97.0,32379.0,3268.0,179.0,105.0,1288.0,142.0,1086.0,201.0,753.0,155.0,91.0,57.0,1270.0,648.0,21.0,71.0,380.0,163.0,15.0,25.0,0.0,24.0,267.0,134.0,135.0,69.0,8.3,3.7,3.9,3.0,32379.0,3268.0,4.2,2.5,22.1,2.7,18.6,3.1,13.1,2.6,3.9,2.5,21.8,11.0,0.4,1.3,14.7,6.3,0.6,1.0,0.0,1.0,11.5,5.6,2.3,1.2,0.2141,0.3212,0.2282,0.12,0.8835,0.1636,0.8577,0.2299,0.3191,0.1585,1.5652,0.2143,0.6069,0.4774,1.0843,0.5974,0.8301,0.2683,0.0,0.8407,0.7923,2.7314,0.6908,6.2644,0.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,194.0,6.7,3.3,3932.0
97,-85.215945,35.045866,3,0,6162.0,1185.0,3083.0,108.0,2615.0,253.0,789.0,283.0,206.0,120.0,24982.0,4030.0,597.0,287.0,1173.0,228.0,1574.0,827.0,985.0,299.0,152.0,108.0,4780.0,1228.0,39.0,83.0,185.0,151.0,0.0,17.0,22.0,37.0,185.0,116.0,17.0,13.0,12.8,5.6,7.4,4.2,24982.0,4030.0,13.7,6.3,19.0,4.8,25.5,12.5,16.0,5.8,5.8,4.1,77.6,13.2,0.7,1.4,6.0,4.9,0.0,1.1,0.8,1.4,7.1,4.6,0.3,0.2,0.4051,0.6849,0.4929,0.4949,2.0778,0.52,0.6669,0.7633,0.4963,0.323,2.2495,0.6619,0.9042,0.5941,1.4983,0.8071,0.6581,0.0,0.3574,0.7044,0.5866,2.3065,0.5044,8.1321,0.6569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,717.0,306.0,11.6,4.9,4691.0
98,-85.194564,35.032528,4,0,3935.0,476.0,2408.0,102.0,1965.0,214.0,950.0,396.0,58.0,48.0,25757.0,4152.0,221.0,114.0,353.0,83.0,801.0,272.0,579.0,152.0,255.0,157.0,1603.0,614.0,188.0,130.0,684.0,222.0,100.0,59.0,0.0,17.0,85.0,72.0,23.0,11.0,24.2,8.8,2.7,2.2,25757.0,4152.0,7.8,4.1,9.0,2.4,20.4,6.5,14.7,4.3,13.0,7.9,40.7,14.8,4.9,3.4,28.4,9.2,4.2,2.5,0.0,0.9,4.3,3.6,0.6,0.3,0.773,0.1623,0.4483,0.2454,1.629,0.3747,0.1254,0.3722,0.4084,0.7916,1.6976,0.2874,0.7667,0.9231,1.6898,0.9029,0.9299,0.4783,0.0,0.4936,0.6473,2.5491,0.6197,7.5655,0.5652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,434.0,222.0,11.0,5.3,7364.0
99,-85.188133,35.028811,3,0,3935.0,476.0,2408.0,102.0,1965.0,214.0,950.0,396.0,58.0,48.0,25757.0,4152.0,221.0,114.0,353.0,83.0,801.0,272.0,579.0,152.0,255.0,157.0,1603.0,614.0,188.0,130.0,684.0,222.0,100.0,59.0,0.0,17.0,85.0,72.0,23.0,11.0,24.2,8.8,2.7,2.2,25757.0,4152.0,7.8,4.1,9.0,2.4,20.4,6.5,14.7,4.3,13.0,7.9,40.7,14.8,4.9,3.4,28.4,9.2,4.2,2.5,0.0,0.9,4.3,3.6,0.6,0.3,0.773,0.1623,0.4483,0.2454,1.629,0.3747,0.1254,0.3722,0.4084,0.7916,1.6976,0.2874,0.7667,0.9231,1.6898,0.9029,0.9299,0.4783,0.0,0.4936,0.6473,2.5491,0.6197,7.5655,0.5652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,434.0,222.0,11.0,5.3,7364.0
100,-85.190085,35.018925,3,0,3935.0,476.0,2408.0,102.0,1965.0,214.0,950.0,396.0,58.0,48.0,25757.0,4152.0,221.0,114.0,353.0,83.0,801.0,272.0,579.0,152.0,255.0,157.0,1603.0,614.0,188.0,130.0,684.0,222.0,100.0,59.0,0.0,17.0,85.0,72.0,23.0,11.0,24.2,8.8,2.7,2.2,25757.0,4152.0,7.8,4.1,9.0,2.4,20.4,6.5,14.7,4.3,13.0,7.9,40.7,14.8,4.9,3.4,28.4,9.2,4.2,2.5,0.0,0.9,4.3,3.6,0.6,0.3,0.773,0.1623,0.4483,0.2454,1.629,0.3747,0.1254,0.3722,0.4084,0.7916,1.6976,0.2874,0.7667,0.9231,1.6898,0.9029,0.9299,0.4783,0.0,0.4936,0.6473,2.5491,0.6197,7.5655,0.5652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,434.0,222.0,11.0,5.3,7364.0
101,-85.190303,34.987666,4,0,3198.0,293.0,1217.0,70.0,1148.0,89.0,386.0,274.0,70.0,53.0,25632.0,3795.0,154.0,91.0,387.0,78.0,803.0,147.0,339.0,172.0,199.0,71.0,877.0,393.0,0.0,48.0,165.0,79.0,0.0,12.0,2.0,14.0,66.0,57.0,18.0,8.0,12.1,8.2,4.3,3.3,25632.0,3795.0,7.1,4.0,12.1,2.7,25.1,4.0,10.6,5.0,17.3,6.1,27.4,12.1,0.0,1.6,13.6,6.5,0.0,2.8,0.2,1.3,5.7,4.9,0.6,0.2,0.3808,0.3597,0.4564,0.2165,1.4134,0.3109,0.2562,0.7417,0.1907,0.8955,2.0841,0.5308,0.6669,0.0,0.6669,0.3385,0.8132,0.0,0.2131,0.6149,0.6473,2.2885,0.499,6.4529,0.3791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,181.0,8.6,5.4,1281.0
102,-85.211705,35.013332,3,0,2367.0,289.0,1142.0,44.0,1015.0,76.0,374.0,174.0,60.0,39.0,19470.0,1973.0,214.0,69.0,247.0,50.0,638.0,179.0,385.0,89.0,84.0,53.0,1396.0,322.0,92.0,77.0,164.0,55.0,0.0,12.0,40.0,29.0,45.0,28.0,16.0,7.0,15.8,7.3,5.0,3.2,19470.0,1973.0,13.5,4.2,10.4,2.6,27.0,6.8,16.3,3.9,8.3,5.2,59.0,11.6,4.3,3.5,14.4,4.8,0.0,3.0,3.9,2.9,4.4,2.7,0.7,0.3,0.502,0.4388,0.8015,0.4801,2.2224,0.5716,0.1888,0.8307,0.5112,0.5327,2.0634,0.5179,0.8395,0.9056,1.7451,0.9265,0.8247,0.0,0.8375,0.5058,0.6669,2.8349,0.7281,8.8658,0.7575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,485.0,150.0,20.5,6.1,5466.0
103,-85.257958,35.029447,3,0,1824.0,255.0,900.0,55.0,756.0,73.0,834.0,267.0,106.0,53.0,17291.0,3442.0,274.0,91.0,143.0,32.0,498.0,157.0,298.0,80.0,58.0,34.0,1260.0,321.0,103.0,77.0,5.0,14.0,0.0,12.0,35.0,32.0,111.0,48.0,27.0,11.0,46.1,10.2,12.2,5.8,17291.0,3442.0,22.3,7.2,7.8,2.2,27.3,7.7,16.5,3.8,7.7,4.5,69.1,14.7,6.1,4.6,0.6,1.6,0.0,3.8,4.6,4.2,14.7,6.2,1.5,0.6,0.9675,0.8959,0.8791,0.851,3.5935,0.9511,0.0904,0.8449,0.5213,0.4835,1.9401,0.4293,0.8827,0.9454,1.8281,0.967,0.3479,0.0,0.884,0.8942,0.7438,2.8699,0.7349,10.2316,0.9164,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,266.0,103.0,14.7,4.7,2993.0
104,-85.270954,35.009365,3,0,4957.0,720.0,2204.0,99.0,1835.0,168.0,2053.0,680.0,364.0,133.0,19394.0,5855.0,888.0,215.0,436.0,131.0,1585.0,527.0,701.0,179.0,285.0,101.0,3305.0,786.0,113.0,89.0,290.0,112.0,0.0,12.0,174.0,105.0,464.0,144.0,5.0,13.0,41.5,9.7,16.7,5.5,19394.0,5855.0,32.3,6.6,8.8,3.2,32.0,9.6,14.2,3.9,15.5,5.4,66.7,12.6,2.5,2.0,13.2,5.1,0.0,1.6,9.5,5.7,25.3,6.7,0.1,0.3,0.9505,0.9567,0.8069,0.9831,3.6972,0.9661,0.12,0.9589,0.3834,0.8618,2.3241,0.6998,0.8773,0.8334,1.7107,0.9096,0.8071,0.0,0.9906,0.9634,0.5111,3.2722,0.8685,11.0042,0.9681,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,833.0,232.0,16.8,4.1,5529.0
105,-85.287319,35.037998,4,0,1560.0,250.0,885.0,38.0,711.0,73.0,448.0,150.0,82.0,44.0,22995.0,4295.0,113.0,52.0,196.0,53.0,198.0,79.0,167.0,54.0,79.0,49.0,959.0,308.0,11.0,47.0,44.0,24.0,12.0,15.0,4.0,13.0,148.0,50.0,57.0,31.0,29.2,9.1,8.6,4.4,22995.0,4295.0,10.7,5.0,12.6,3.8,12.7,4.6,10.7,3.9,11.1,6.8,61.5,17.1,0.7,3.2,5.0,2.7,1.4,1.7,0.6,1.9,20.8,6.7,3.7,1.9,0.857,0.7586,0.6192,0.3675,2.6023,0.6925,0.2846,0.0492,0.192,0.7134,1.2392,0.092,0.8564,0.5941,1.4505,0.7822,0.6244,0.3537,0.2886,0.9437,0.8618,3.0722,0.8108,8.3642,0.6889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,178.0,78.0,11.4,4.9,2473.0
106,-85.286889,35.040395,4,0,1560.0,250.0,885.0,38.0,711.0,73.0,448.0,150.0,82.0,44.0,22995.0,4295.0,113.0,52.0,196.0,53.0,198.0,79.0,167.0,54.0,79.0,49.0,959.0,308.0,11.0,47.0,44.0,24.0,12.0,15.0,4.0,13.0,148.0,50.0,57.0,31.0,29.2,9.1,8.6,4.4,22995.0,4295.0,10.7,5.0,12.6,3.8,12.7,4.6,10.7,3.9,11.1,6.8,61.5,17.1,0.7,3.2,5.0,2.7,1.4,1.7,0.6,1.9,20.8,6.7,3.7,1.9,0.857,0.7586,0.6192,0.3675,2.6023,0.6925,0.2846,0.0492,0.192,0.7134,1.2392,0.092,0.8564,0.5941,1.4505,0.7822,0.6244,0.3537,0.2886,0.9437,0.8618,3.0722,0.8108,8.3642,0.6889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,178.0,78.0,11.4,4.9,2473.0
107,-85.28985,35.047491,4,0,3760.0,566.0,1614.0,74.0,1370.0,120.0,1171.0,492.0,392.0,229.0,12976.0,2078.0,700.0,217.0,584.0,128.0,816.0,262.0,894.0,265.0,281.0,106.0,3509.0,577.0,0.0,48.0,48.0,54.0,7.0,12.0,0.0,17.0,373.0,126.0,86.0,81.0,31.9,11.2,23.4,11.1,12976.0,2078.0,26.5,6.7,15.5,3.8,21.7,6.2,24.2,6.4,20.5,7.6,93.3,6.2,0.0,1.4,3.0,3.4,0.4,0.8,0.0,1.2,27.2,8.9,2.3,2.1,0.8814,0.9932,0.9615,0.94,3.7761,0.9769,0.4262,0.4713,0.8999,0.9393,2.7367,0.9094,0.9481,0.0,0.9481,0.499,0.5482,0.2331,0.0,0.9688,0.7923,2.5424,0.6142,10.0033,0.8947,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,403.0,198.0,10.9,4.6,13530.0
108,-85.285711,35.054017,3,0,4999.0,508.0,2171.0,85.0,1868.0,123.0,1367.0,416.0,280.0,143.0,18722.0,2188.0,597.0,198.0,708.0,108.0,1211.0,379.0,977.0,221.0,286.0,104.0,3321.0,581.0,6.0,47.0,61.0,43.0,119.0,55.0,38.0,43.0,273.0,93.0,5.0,5.0,27.3,6.8,12.6,6.0,18722.0,2188.0,17.0,4.9,14.2,2.3,24.2,7.2,19.5,4.6,15.3,5.5,66.4,9.5,0.1,1.0,2.8,2.0,5.5,2.5,2.0,2.3,14.6,4.9,0.1,0.1,0.8266,0.9026,0.8352,0.6575,3.2219,0.8744,0.3621,0.6864,0.7093,0.8537,2.6115,0.8607,0.8766,0.3425,1.2191,0.6581,0.5408,0.5298,0.5974,0.8922,0.5111,3.0713,0.8095,10.1238,0.9096,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,484.0,181.0,9.7,3.4,10486.0
109,-85.307312,35.062511,4,0,3427.0,314.0,1854.0,62.0,1604.0,109.0,278.0,136.0,112.0,106.0,51583.0,8342.0,171.0,83.0,495.0,80.0,679.0,146.0,222.0,86.0,69.0,35.0,220.0,454.0,0.0,48.0,197.0,56.0,0.0,12.0,13.0,16.0,32.0,39.0,15.0,7.0,8.1,3.8,5.5,5.1,51583.0,8342.0,6.8,3.2,14.4,2.3,19.8,3.9,6.5,2.5,4.3,2.2,6.4,13.3,0.0,1.5,10.6,3.0,0.0,1.9,0.8,1.0,2.0,2.4,0.4,0.2,0.206,0.4929,0.05,0.2077,0.9566,0.1819,0.3709,0.3189,0.0433,0.1908,0.9239,0.0419,0.2239,0.0,0.2239,0.1342,0.7647,0.0,0.3574,0.2292,0.6123,1.9636,0.3532,4.068,0.0768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,60.0,2.9,1.7,2689.0
110,-85.308977,35.060136,4,0,1712.0,253.0,962.0,44.0,841.0,71.0,295.0,115.0,16.0,15.0,34909.0,6909.0,114.0,47.0,264.0,76.0,194.0,87.0,189.0,58.0,46.0,35.0,530.0,311.0,2.0,47.0,345.0,56.0,0.0,12.0,2.0,14.0,70.0,41.0,143.0,115.0,18.0,6.0,1.7,1.6,34909.0,6909.0,8.6,3.0,15.4,4.1,11.3,4.8,11.4,3.7,5.5,4.2,31.0,17.6,0.1,2.9,35.9,5.6,0.0,3.6,0.2,1.7,8.3,4.7,8.4,6.6,0.5901,0.0615,0.1762,0.2771,1.1049,0.224,0.4214,0.0357,0.2272,0.298,0.9823,0.0494,0.702,0.3425,1.0445,0.5711,0.9555,0.0,0.2131,0.7614,0.9353,2.8653,0.7329,5.997,0.2989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,256.0,121.0,15.5,6.0,4241.0
111,-85.2882,34.98708,3,0,5575.0,668.0,1775.0,103.0,1661.0,124.0,2565.0,761.0,221.0,85.0,11809.0,1490.0,1266.0,349.0,446.0,159.0,1861.0,432.0,894.0,220.0,254.0,93.0,3228.0,823.0,588.0,227.0,0.0,24.0,13.0,22.0,230.0,100.0,123.0,77.0,0.0,17.0,46.0,10.8,11.2,4.0,11809.0,1490.0,39.6,8.8,8.0,3.0,33.4,6.6,16.0,4.1,15.3,5.5,57.9,13.0,11.8,4.3,0.0,1.4,0.7,1.2,13.8,5.9,7.4,4.6,0.0,0.3,0.9661,0.8668,0.9716,0.9987,3.8032,0.9823,0.0991,0.9683,0.4963,0.8537,2.4174,0.7627,0.8334,0.9831,1.8165,0.9589,0.0,0.2879,0.9973,0.7173,0.0,2.0025,0.3756,10.0396,0.8995,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1404.0,346.0,25.2,5.0,3994.0
112,-85.325744,35.013165,3,0,3792.0,595.0,1958.0,99.0,1593.0,154.0,1729.0,549.0,409.0,176.0,17951.0,6031.0,614.0,198.0,434.0,92.0,1178.0,371.0,903.0,209.0,386.0,122.0,3443.0,644.0,0.0,48.0,199.0,101.0,22.0,32.0,54.0,53.0,440.0,141.0,58.0,26.0,46.0,10.4,22.2,8.5,17951.0,6031.0,25.8,7.6,11.4,2.8,31.1,8.5,23.8,4.7,24.2,7.3,90.8,9.3,0.0,1.4,10.2,5.1,1.1,1.7,3.4,3.3,27.6,8.5,1.5,0.6,0.9661,0.9865,0.8602,0.9285,3.7413,0.9742,0.2252,0.9514,0.8864,0.9697,3.0327,0.9804,0.9339,0.0,0.9339,0.4909,0.7586,0.3232,0.7964,0.9708,0.7438,3.5928,0.9444,11.3007,0.9817,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,538.0,188.0,14.2,4.3,5799.0
113,-85.326665,35.014095,4,0,3792.0,595.0,1958.0,99.0,1593.0,154.0,1729.0,549.0,409.0,176.0,17951.0,6031.0,614.0,198.0,434.0,92.0,1178.0,371.0,903.0,209.0,386.0,122.0,3443.0,644.0,0.0,48.0,199.0,101.0,22.0,32.0,54.0,53.0,440.0,141.0,58.0,26.0,46.0,10.4,22.2,8.5,17951.0,6031.0,25.8,7.6,11.4,2.8,31.1,8.5,23.8,4.7,24.2,7.3,90.8,9.3,0.0,1.4,10.2,5.1,1.1,1.7,3.4,3.3,27.6,8.5,1.5,0.6,0.9661,0.9865,0.8602,0.9285,3.7413,0.9742,0.2252,0.9514,0.8864,0.9697,3.0327,0.9804,0.9339,0.0,0.9339,0.4909,0.7586,0.3232,0.7964,0.9708,0.7438,3.5928,0.9444,11.3007,0.9817,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,538.0,188.0,14.2,4.3,5799.0
114,-85.337809,35.008298,4,0,6347.0,699.0,2842.0,128.0,2521.0,182.0,1007.0,591.0,79.0,69.0,36403.0,5321.0,424.0,176.0,1214.0,225.0,1388.0,384.0,955.0,227.0,272.0,145.0,937.0,865.0,153.0,136.0,89.0,72.0,99.0,106.0,16.0,30.0,77.0,57.0,22.0,20.0,15.9,8.2,2.4,2.1,36403.0,5321.0,9.5,3.8,19.1,3.2,21.9,5.5,15.0,3.1,10.8,5.7,14.8,13.5,2.6,2.3,3.1,2.5,3.5,3.7,0.6,1.2,3.1,2.3,0.3,0.3,0.5068,0.1237,0.158,0.3082,1.0967,0.22,0.6743,0.4869,0.4226,0.704,2.2878,0.6795,0.4889,0.8382,1.3271,0.7161,0.5516,0.46,0.2886,0.3607,0.5866,2.2475,0.4814,6.9591,0.4674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,324.0,11.5,5.0,8631.0
115,-85.340947,34.990601,4,0,2495.0,318.0,1311.0,57.0,1026.0,115.0,266.0,128.0,51.0,63.0,28066.0,3622.0,221.0,98.0,424.0,93.0,384.0,91.0,320.0,121.0,18.0,23.0,766.0,406.0,0.0,48.0,27.0,31.0,0.0,12.0,0.0,17.0,28.0,36.0,33.0,15.0,10.7,4.9,3.5,4.1,28066.0,3622.0,11.5,4.7,17.0,3.5,15.4,3.1,12.8,4.6,1.8,2.3,30.7,15.8,0.0,2.0,2.1,2.4,0.0,2.6,0.0,1.7,2.7,3.4,1.3,0.6,0.3211,0.2698,0.3417,0.4046,1.3372,0.2906,0.5374,0.0924,0.2975,0.0438,0.9711,0.0473,0.6986,0.0,0.6986,0.3554,0.4956,0.0,0.0,0.3125,0.7256,1.5337,0.2068,4.5406,0.1101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,86.0,6.9,3.4,1894.0
